Countries,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2017
Afghanistan,278.38,265.58,254.43,243.63,232.78,223.17,216.38,199.12,147.62,134.7,119.8,97.28,74.67,55.77
Albania,239.12,208.04,158.91,128.68,100.03,76.54,60.76,53.94,44.91,38.69,30.24,23.55,17.88,13.99
Algeria,156.83,146.32,167.96,159.99,159.98,147.85,125.76,77.25,51.4,41.18,36.04,30.36,27.99,24.11
American Samoa,93.05,72.6,58.59,50.66,41.08,33.35,25.25,19.57,18.99,17.44,16.48,15.76,13.44,11.5
Andean Latin America,337.93,290.6,262.81,219.56,199.09,158.02,134.62,107.67,80.39,62.1,47.65,37.2,29.01,20.91
Andorra,25.4,21.52,18.08,15.04,12.46,10.42,9.04,7.9,6.58,4.96,3.75,3.75,3.09,2.11
Angola,301.46,300.39,289.1,274.43,258.91,251.19,250.74,247.62,238.42,219.85,190.58,151.05,106.74,71.04
Antigua and Barbuda,122.55,101.24,81.98,60.19,41.67,33.06,24.57,16.64,15.4,17.27,17.2,16.17,14.32,12.81
Argentina,89,80.2,83.13,72.13,73.84,58.31,42.63,33.86,32.3,27.32,21.34,16.95,15.52,12.06
Armenia,263.45,216.24,168.1,129.33,99.05,86.85,70.1,56.98,45.74,40.71,30.76,19.19,14.49,10.55
Australasia,34.39,31.38,28.08,24.73,24.06,19.54,15.18,13.74,11.15,8.11,7.3,6.62,5.81,4.3
Australia,33.48,30.65,27.34,24.46,24.37,19.16,14.55,13.2,10.59,7.75,7,6.51,5.47,4.17
Austria,85.47,60.25,49.13,36.95,32.58,26.97,19.4,14.73,10.61,7.32,6.33,5.5,5.11,3.81
Azerbaijan,369.57,317.13,251.55,192.12,143.47,108.56,97.31,92.86,83.64,78.69,69.78,57.18,45.34,38.24
Bahamas,144.45,120.99,99.87,79.6,56.38,45.8,37.94,30.77,24.5,19.66,16.45,15.42,14.66,13.61
Bahrain,264.95,228.21,178.77,132.37,89.96,55.17,32.25,24.85,23.4,16.94,12.15,10.46,8.37,7.52
Bangladesh,354.49,325.51,294.63,261.9,252.24,216.07,191.62,168.87,138.02,110.81,87.63,69.23,52.95,34.26
Barbados,164.21,132.25,93.04,67.14,49.91,37.26,28.63,24.1,19.72,16.83,15.44,15.43,14.65,13.59
Belarus,82.52,75.29,65.25,50.14,40.85,35.4,31.3,27.79,24.42,23.38,20.32,14.95,10.45,7.34
Belgium,67.35,52.03,39.03,30.6,27.57,21.11,16.51,13.06,11.13,8.53,6.76,5.52,4.99,4.12
Belize,203,180.7,146.22,121.31,102.33,82.11,66.55,52.82,42.16,32.66,30.69,25.74,22.94,19.67
Benin,343.02,333.05,323.84,302.75,282.24,255.68,230.54,216.22,191.72,166.84,147.97,128.33,114.25,89.8
Bermuda,74.45,57.19,46.75,39.12,30.04,23.56,18.59,14.15,11.52,8.68,6.34,6.49,6.22,5.82
Bhutan,420.52,387.72,349.69,306.59,262.76,230.98,203.6,167.75,131.78,104.51,83.25,63.15,46.75,30.07
