Country,Year,CMR,HDI,pCMR,pHDI
Kuwait,1990,100,100,,
Kuwait,1991,,94.32624113,,
Kuwait,1992,,93.4751773,,
Kuwait,1993,,97.58865248,,
Kuwait,1994,,101.8439716,,
Kuwait,1995,67.53185465,106.0992908,,
Kuwait,1996,,109.5035461,,
Kuwait,1997,,109.929078,,
Kuwait,1998,,110.6382979,,
Kuwait,1999,,110.7801418,,
Kuwait,2000,57.05521472,110.7801418,,
Kuwait,2001,,110.3546099,,
Kuwait,2002,,110.6382979,,
Kuwait,2003,,111.7730496,,
Kuwait,2004,,111.9148936,,
Kuwait,2005,54.83718735,111.0638298,,
Kuwait,2006,,111.7730496,,
Kuwait,2007,,111.7730496,,
Kuwait,2008,,112.0567376,,
Kuwait,2009,,111.9148936,,
Kuwait,2010,55.5922605,111.7730496,,
Kuwait,2011,,112.3404255,,
Kuwait,2012,,112.9078014,,
Kuwait,2013,,112.4822695,,
Kuwait,2014,,112.9078014,,
Kuwait,2015,39.45257197,113.6170213,39.45257197,
Kuwait,2016,,114.0425532,36.12323872,
Kuwait,2017,,114.1843972,34.17595901,
Kuwait,2018,,114.4680851,32.2286793,
Kuwait,2019,,114.3262411,30.28139958,114.3262411
Kuwait,2020,,,28.33411987,117.6082172
Kuwait,2021,,,26.38684015,118.1393353
Kuwait,2022,,,24.43956044,118.6704534
Kuwait,2023,,,22.49228073,119.2015715
Kuwait,2024,,,20.54500101,119.7326896
Kuwait,2025,,,18.5977213,120.2638077
Kuwait,2026,,,16.65044158,120.7949258
Kuwait,2027,,,14.70316187,121.3260439
Kuwait,2028,,,12.75588215,121.857162
Kuwait,2029,,,10.80860244,122.3882801
Kuwait,2030,,,8.861322726,122.9193982
