Country,Year,CMR,HDI,pCMR,pHDI
Iraq,1990,100,100,,
Iraq,1991,,91.42857143,,
Iraq,1992,,94.10714286,,
Iraq,1993,,97.85714286,,
Iraq,1994,,97.85714286,,
Iraq,1995,94.64603344,96.25,,
Iraq,1996,,100,,
Iraq,1997,,101.6071429,,
Iraq,1998,,104.1071429,,
Iraq,1999,,105.5357143,,
Iraq,2000,78.97545358,106.25,,
Iraq,2001,,107.3214286,,
Iraq,2002,,107.6785714,,
Iraq,2003,,105.1785714,,
Iraq,2004,,109.8214286,,
Iraq,2005,70.95339737,110.1785714,,
Iraq,2006,,110.7142857,,
Iraq,2007,,111.25,,
Iraq,2008,,112.5,,
Iraq,2009,,112.8571429,,
Iraq,2010,58.94699395,113.5714286,,
Iraq,2011,,114.6428571,,
Iraq,2012,,115.3571429,,
Iraq,2013,,115.3571429,,
Iraq,2014,,115.1785714,,
Iraq,2015,,115.8928571,,
Iraq,2016,,117.1428571,,
Iraq,2017,45.62433298,119.1071429,45.62433298,
Iraq,2018,,119.8214286,43.15569624,
Iraq,2019,,120.3571429,41.06545411,120.3571429
Iraq,2020,,,38.97521198,122.0463875
Iraq,2021,,,36.88496985,122.9334048
Iraq,2022,,,34.79472772,123.8204222
Iraq,2023,,,32.70448559,124.7074395
Iraq,2024,,,30.61424346,125.5944568
Iraq,2025,,,28.52400133,126.4814741
Iraq,2026,,,26.4337592,127.3684914
Iraq,2027,,,24.34351707,128.2555088
Iraq,2028,,,22.25327494,129.1425261
Iraq,2029,,,20.16303281,130.0295434
Iraq,2030,,,18.07279068,130.9165607
