Country,Year,CMR,indoHDI,timorHDI,pCMR,pHDI
Timor,1990,100,100,,,
Timor,1991,,101.1472275,,,
Timor,1992,,102.1032505,,,
Timor,1993,,103.4416826,,,
Timor,1994,,105.1625239,,,
Timor,1995,81.17378049,107.0745698,,,
Timor,1996,,109.5602294,,,
Timor,1997,,112.2370937,,,
Timor,1998,,112.0458891,,,
Timor,1999,,113.5755258,,,
Timor,2000,65.28963415,115.2963671,92.54302103,,
Timor,2001,,,94.07265774,,
Timor,2002,,,96.17590822,,
Timor,2003,,,96.36711281,,
Timor,2004,,,99.04397706,,
Timor,2005,50.69359756,,102.6768642,,
Timor,2006,,,107.6481836,,
Timor,2007,,,111.8546845,,
Timor,2008,,,117.7820268,,
Timor,2009,,,116.8260038,,
Timor,2010,36.37195122,,120.0764818,,
Timor,2011,,,123.1357553,,
Timor,2012,,,122.1797323,,
Timor,2013,,,120.458891,,
Timor,2014,,,118.5468451,,
Timor,2015,,,116.6347992,,
Timor,2016,,,114.3403442,,
Timor,2017,29.77896341,,114.5315488,29.77896341,
Timor,2018,,,114.5315488,20.01656901,
Timor,2019,,,115.8699809,17.34394799,115.8699809
Timor,2020,,,,14.67132697,124.9511925
Timor,2021,,,,11.99870595,126.3022758
Timor,2022,,,,9.326084931,127.653359
Timor,2023,,,,6.653463912,129.0044423
Timor,2024,,,,3.980842892,130.3555255
Timor,2025,,,,1.308221873,131.7066088
Timor,2026,,,,-1.364399147,133.057692
Timor,2027,,,,-4.037020166,134.4087753
Timor,2028,,,,-6.709641186,135.7598585
Timor,2029,,,,-9.382262205,137.1109418
Timor,2030,,,,-12.05488322,138.462025
